CMDLINE python2 19-Quick-Implement-for-difference-distance.py
MEM 247.679688 1514433639.9994
MEM 247.679688 1514433640.1030
MEM 247.679688 1514433640.2082
MEM 247.679688 1514433640.3134
MEM 247.679688 1514433640.4185
MEM 247.679688 1514433640.5193
MEM 247.679688 1514433640.6244
MEM 247.679688 1514433640.7296
MEM 247.679688 1514433640.8347
MEM 247.679688 1514433640.9350
MEM 247.679688 1514433641.0352
MEM 247.679688 1514433641.1384
MEM 247.679688 1514433641.2436
MEM 247.679688 1514433641.3487
MEM 247.679688 1514433641.4539
MEM 247.679688 1514433641.5590
MEM 247.679688 1514433641.6599
MEM 247.679688 1514433641.7633
MEM 247.679688 1514433641.8684
MEM 247.679688 1514433641.9736
MEM 247.679688 1514433642.0762
MEM 247.679688 1514433642.1803
MEM 247.679688 1514433642.2832
MEM 247.679688 1514433642.3854
MEM 247.679688 1514433642.4871
MEM 247.679688 1514433642.5918
MEM 247.679688 1514433642.6969
MEM 247.679688 1514433642.8021
MEM 247.679688 1514433642.9051
MEM 247.679688 1514433643.0080
MEM 247.679688 1514433643.1114
MEM 247.679688 1514433643.2154
MEM 247.679688 1514433643.3206
MEM 247.679688 1514433643.4257
MEM 247.679688 1514433643.5309
MEM 247.679688 1514433643.6313
MEM 247.679688 1514433643.7364
MEM 247.679688 1514433643.8416
MEM 247.679688 1514433643.9467
MEM 247.679688 1514433644.0519
MEM 247.679688 1514433644.1571
MEM 247.679688 1514433644.2580
MEM 247.679688 1514433644.3632
MEM 247.679688 1514433644.4636
MEM 247.679688 1514433644.5687
MEM 247.679688 1514433644.6739
MEM 247.679688 1514433644.7790
MEM 247.679688 1514433644.8842
MEM 247.679688 1514433644.9894
MEM 247.679688 1514433645.0946
MEM 247.679688 1514433645.1960
MEM 247.679688 1514433645.3007
MEM 247.679688 1514433645.4057
MEM 247.683594 1514433645.5108
MEM 247.683594 1514433645.6160
MEM 247.683594 1514433645.7212
MEM 247.683594 1514433645.8254
MEM 247.683594 1514433645.9306
MEM 247.683594 1514433646.0358
MEM 247.683594 1514433646.1388
MEM 247.683594 1514433646.2440
MEM 247.683594 1514433646.3483
MEM 247.683594 1514433646.4536
MEM 247.683594 1514433646.5585
MEM 247.683594 1514433646.6630
MEM 247.683594 1514433646.7645
MEM 247.683594 1514433646.8664
MEM 247.683594 1514433646.9683
MEM 247.683594 1514433647.0710
MEM 247.683594 1514433647.1725
MEM 247.683594 1514433647.2745
MEM 247.683594 1514433647.3763
MEM 247.683594 1514433647.4799
MEM 247.683594 1514433647.5805
MEM 247.683594 1514433647.6844
MEM 247.683594 1514433647.7896
MEM 247.683594 1514433647.8944
MEM 247.683594 1514433647.9996
MEM 247.683594 1514433648.1021
MEM 247.683594 1514433648.2072
MEM 247.683594 1514433648.3124
MEM 247.683594 1514433648.4143
MEM 247.683594 1514433648.5194
MEM 247.683594 1514433648.6244
MEM 247.683594 1514433648.7296
MEM 247.683594 1514433648.8348
MEM 247.683594 1514433648.9400
MEM 247.683594 1514433649.0451
MEM 247.683594 1514433649.1501
MEM 247.683594 1514433649.2553
MEM 247.683594 1514433649.3605
MEM 247.683594 1514433649.4656
MEM 247.683594 1514433649.5703
MEM 247.683594 1514433649.6756
MEM 247.683594 1514433649.7758
MEM 247.683594 1514433649.8800
MEM 247.683594 1514433649.9807
MEM 247.683594 1514433650.0844
MEM 247.687500 1514433650.1895
MEM 247.687500 1514433650.2947
MEM 247.687500 1514433650.3959
MEM 247.687500 1514433650.4995
MEM 247.687500 1514433650.6047
MEM 247.687500 1514433650.7083
MEM 247.687500 1514433650.8134
MEM 247.687500 1514433650.9153
MEM 247.687500 1514433651.0205
MEM 247.687500 1514433651.1257
MEM 247.687500 1514433651.2308
MEM 247.687500 1514433651.3352
MEM 247.687500 1514433651.4382
MEM 247.687500 1514433651.5385
MEM 247.687500 1514433651.6437
MEM 247.687500 1514433651.7488
MEM 247.687500 1514433651.8540
