CMDLINE python2.7 19-Quick-Implement-for-difference-distance.py
MEM 182.152344 1514434438.3884
MEM 182.152344 1514434438.4896
MEM 182.152344 1514434438.5917
MEM 182.152344 1514434438.6923
MEM 182.152344 1514434438.7975
MEM 182.152344 1514434438.9034
MEM 182.152344 1514434439.0044
MEM 182.238281 1514434439.1079
MEM 182.238281 1514434439.2128
MEM 182.238281 1514434439.3169
MEM 182.238281 1514434439.4177
MEM 182.238281 1514434439.5184
MEM 182.238281 1514434439.6204
MEM 182.238281 1514434439.7218
MEM 182.238281 1514434439.8224
MEM 182.238281 1514434439.9238
MEM 182.238281 1514434440.0271
MEM 182.238281 1514434440.1274
MEM 182.238281 1514434440.2279
MEM 182.238281 1514434440.3318
MEM 182.238281 1514434440.4347
MEM 182.238281 1514434440.5349
MEM 182.253906 1514434440.6379
MEM 182.253906 1514434440.7407
MEM 182.253906 1514434440.8414
MEM 182.253906 1514434440.9463
MEM 182.253906 1514434441.0466
MEM 182.253906 1514434441.1506
MEM 182.253906 1514434441.2536
MEM 182.253906 1514434441.3574
MEM 182.253906 1514434441.4604
MEM 182.253906 1514434441.5644
MEM 182.253906 1514434441.6676
MEM 182.253906 1514434441.7753
MEM 182.253906 1514434441.8779
MEM 182.253906 1514434441.9799
MEM 182.253906 1514434442.0845
MEM 182.253906 1514434442.1867
MEM 182.253906 1514434442.2904
MEM 182.335938 1514434442.3921
MEM 182.335938 1514434442.4965
MEM 182.335938 1514434442.6009
MEM 182.335938 1514434442.7031
MEM 182.335938 1514434442.8059
MEM 182.335938 1514434442.9085
MEM 182.339844 1514434443.0089
MEM 182.339844 1514434443.1097
MEM 182.339844 1514434443.2109
MEM 182.339844 1514434443.3149
MEM 182.339844 1514434443.4187
MEM 182.339844 1514434443.5193
MEM 182.339844 1514434443.6214
MEM 182.339844 1514434443.7259
MEM 182.339844 1514434443.8300
MEM 182.339844 1514434443.9350
MEM 182.406250 1514434444.0400
MEM 182.609375 1514434444.1412
MEM 182.609375 1514434444.2425
MEM 182.609375 1514434444.3466
MEM 182.609375 1514434444.4477
MEM 182.609375 1514434444.5521
MEM 183.324219 1514434444.6564
MEM 183.324219 1514434444.7634
MEM 183.324219 1514434444.8679
MEM 183.324219 1514434444.9713
MEM 183.324219 1514434445.0731
MEM 183.324219 1514434445.1737
MEM 183.324219 1514434445.2784
MEM 183.332031 1514434445.3839
MEM 183.332031 1514434445.4881
MEM 183.332031 1514434445.5923
MEM 183.332031 1514434445.6965
MEM 183.332031 1514434445.8018
MEM 184.605469 1514434445.9030
MEM 184.605469 1514434446.0043
MEM 197.960938 1514434446.1047
MEM 233.359375 1514434446.2093
MEM 235.359375 1514434446.3142
MEM 237.199219 1514434446.4146
MEM 238.964844 1514434446.5161
MEM 240.164062 1514434446.6174
MEM 242.019531 1514434446.7178
MEM 244.328125 1514434446.8222
MEM 246.507812 1514434446.9226
MEM 246.511719 1514434447.0248
MEM 246.511719 1514434447.1251
MEM 246.519531 1514434447.2301
MEM 246.519531 1514434447.3337
MEM 246.519531 1514434447.4351
MEM 246.519531 1514434447.5363
MEM 246.519531 1514434447.6395
MEM 246.519531 1514434447.7405
MEM 246.519531 1514434447.8425
MEM 246.519531 1514434447.9466
MEM 246.523438 1514434448.0511
MEM 246.523438 1514434448.1518
MEM 246.523438 1514434448.2531
MEM 246.523438 1514434448.3583
MEM 246.523438 1514434448.4623
MEM 246.523438 1514434448.5673
MEM 246.523438 1514434448.6721
MEM 246.523438 1514434448.7772
MEM 246.523438 1514434448.8813
MEM 246.523438 1514434448.9855
MEM 246.523438 1514434449.0902
MEM 246.523438 1514434449.1942
MEM 246.523438 1514434449.2967
MEM 246.523438 1514434449.3990
MEM 246.523438 1514434449.5039
MEM 246.523438 1514434449.6050
MEM 246.523438 1514434449.7068
MEM 246.523438 1514434449.8094
MEM 246.523438 1514434449.9128
MEM 246.523438 1514434450.0155
MEM 246.523438 1514434450.1207
MEM 246.523438 1514434450.2219
MEM 246.523438 1514434450.3242
MEM 246.523438 1514434450.4292
MEM 246.523438 1514434450.5344
MEM 246.523438 1514434450.6384
MEM 246.523438 1514434450.7386
MEM 246.523438 1514434450.8398
MEM 246.523438 1514434450.9408
MEM 246.523438 1514434451.0410
MEM 246.523438 1514434451.1422
MEM 246.523438 1514434451.2467
MEM 246.523438 1514434451.3492
MEM 246.523438 1514434451.4538
MEM 246.523438 1514434451.5557
MEM 246.523438 1514434451.6568
MEM 246.523438 1514434451.7620
MEM 246.523438 1514434451.8627
MEM 246.488281 1514434451.9635
MEM 246.488281 1514434452.0638
MEM 246.488281 1514434452.1652
MEM 246.488281 1514434452.2654
MEM 246.488281 1514434452.3696
MEM 246.488281 1514434452.4720
MEM 246.488281 1514434452.5733
MEM 246.488281 1514434452.6743
MEM 246.488281 1514434452.7780
MEM 246.488281 1514434452.8802
MEM 246.488281 1514434452.9805
MEM 246.488281 1514434453.0808
MEM 246.488281 1514434453.1812
MEM 246.488281 1514434453.2816
MEM 246.488281 1514434453.3836
MEM 246.488281 1514434453.4854
MEM 246.488281 1514434453.5859
MEM 246.488281 1514434453.6861
