	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
55556	1229 N LINWOOD AVE BALTIMORE | MD 21213-3834	0x0006060000200F00000020	1	3834	21213	 North Linwood Avenue 	1229
55558	1907 PARK AVE BALTIMORE | MD 21217-4672	0x00720D0000201B00000020	1	4672	21217	 Park Avenue 	1907
55587	402 N LOUDON AVE BALTIMORE | MD 21229-2917	0x00F9080000200200000020	1	2917	21229	 North Loudon Avenue 	402
55608	1915 PARK AVE BALTIMORE | MD 21217-4830	0x00720D0000201F00000020	1	4830	21217	 Park Avenue 	1915
55643	3810 BANK ST BALTIMORE | MD 21224-2522	0x00A7180000202800000020	1	2522	21224	 Bank Street 	3810
55687	2552 FREDERICK AVE BALTIMORE | MD 21223-2840	0x0081080000200600000020	1	2840	21223	 Frederick Avenue 	2552
55701	1205 DUKELAND ST BALTIMORE | MD 21216-4334	0x0057090000202000000020	1	4334	21216	 Dukeland Street 	1205
55711	1807 E 30TH ST BALTIMORE | MD 21218-3751	0x00730F0000200400000020	1	3751	21218	 East 30Th Street 	1807
55778	603 N ROBINSON ST BALTIMORE | MD 21205-2845	0x006F060000201700000020	1	2845	21205	 North Robinson Street 	603
55783	1757 MONTPELIER ST BALTIMORE | MD 21218-4846	0x0012100000414C00000020	1	4846	21218	 Montpelier Street 	1757
55870	119 S WOLFE ST BALTIMORE | MD 21231-1960	0x00D2060000203000000020	1	1960	21231	 South Wolfe Street 	119
55881	1617 LAURENS ST BALTIMORE | MD 21217-2252	0x002A000000202700000020	1	2252	21217	 Laurens Street 	1617
55919	3906 BAREVA RD BALTIMORE | MD 21215-7219	0x001C0C0000460F00000020	1	7219	21215	 Bareva Road 	3906
55929	3715 MOUNT PLEASANT AVE BALTIMORE | MD 21224-2422	0x008F180000203900000020	1	2422	21224	 Mount Pleasant Avenue 	3715
55978	133 W CROSS ST BALTIMORE | MD 21230-3634	0x00B3030000200900000020	1	3634	21230	 West Cross Street 	133
55990	1226 RANKIN PL BALTIMORE | MD 21223-1856	0x00A9000000202B00000020	1	1856	21223	 Rankin Place 	1226
56048	4622 PIMLICO RD BALTIMORE | MD 21215-6431	0x0012120000415800000042	1	6431	21215	 Pimlico Road 	4622
56071	4007 W FRANKLIN ST BALTIMORE | MD 21229-2916	0x00F9080000201100000020	1	2916	21229	 West Franklin Street 	4007
56130	310 S MONROE ST BALTIMORE | MD 21223-3014	0x0012010000200600000020	1	3014	21223	 South Monroe Street 	310
56181	3421 PATON AVE BALTIMORE | MD 21215-5035	0x00C8110000206000000020	1	5035	21215	 Paton Avenue 	3421
56186	822 RICHWOOD AVE BALTIMORE | MD 21212-4626	0x003F140000204E00000020	1	4626	21212	 Richwood Avenue 	822
56187	422 N LOUDON AVE BALTIMORE | MD 21229-2917	0x00F9080000200C00000020	1	2917	21229	 North Loudon Avenue 	422
56262	5964 GLEN FALLS AVE BALTIMORE | MD 21206-2521	0x003F16000046C000000020	1	2521	21206	 Glen Falls Avenue 	5964
56296	2029 HOLLINS ST BALTIMORE | MD 21223-2212	0x00DF000000200F00000020	1	2212	21223	 Hollins Street 	2029
56384	4007 DUVALL AVE BALTIMORE | MD 21216-1633	0x00240B0000201400000020	1	1633	21216	 Duvall Avenue 	4007
56402	3901 GWYNNS FALLS PKWY BALTIMORE | MD 21216	0x000A0B0000410500000020	1	0	21216	 Gwynns Falls Parkway 	3901
56410	617 CUMBERLAND ST BALTIMORE | MD 21217-1719	0x0029010000201C00000020	1	1719	21217	 Cumberland Street 	617
56480	2524 FREDERICK AVE BALTIMORE | MD 21223-2840	0x0081080000201400000020	1	2840	21223	 Frederick Avenue 	2524
56515	2107 BELAIR RD BALTIMORE | MD 21213-1336	0x0052100000420400000020	1	1336	21213	 Belair Road 	2107
56516	10 WHEELER AVE BALTIMORE | MD 21223-1443	0x0074080000201200000020	1	1443	21223	 Wheeler Avenue 	10
56574	2515 BROOKFIELD AVE BALTIMORE | MD 21217-4637	0x00850D0000202500000046	1	4637	21217	 Brookfield Avenue 	2515
56577	2558 AISQUITH ST BALTIMORE | MD 21218-4815	0x0012100000433500000020	1	4815	21218	 Aisquith Street 	2558
56649	760 DOLPHIN ST BALTIMORE | MD 21217-2931	0x009B010000202A00000020	1	2931	21217	 Dolphin Street 	760
56665	3704 LIBERTY HEIGHTS AVE BALTIMORE | MD 21215-7117	0x00730B0000200B00000020	1	7117	21215	 Liberty Heights Avenue 	3704
56676	4006 WOODRIDGE RD BALTIMORE | MD 21229-1913	0x00D4090000201300000020	1	1913	21229	 Woodridge Road 	4006
56703	2414 W BALTIMORE ST BALTIMORE | MD 21223-2133	0x0075080000203500000020	1	2133	21223	 West Baltimore Street 	2414
56727	4201 VALLEY VIEW AVE BALTIMORE | MD 21206-5620	0x0041170000410600000020	1	5620	21206	 Valley View Avenue 	4201
56758	2921 E MADISON ST BALTIMORE | MD 21205-1740	0x005D06000020130000004D	1	1740	21205	 East Madison Street 	2921
56768	412 E 25TH ST BALTIMORE | MD 21218-5304	0x00FC0E0000422C00000020	1	5304	21218	 East 25Th Street 	412
56770	3157 ELMORA AVE BALTIMORE | MD 21213-1637	0x0052100000413B00000020	1	1637	21213	 Elmora Avenue 	3157
